The now well-known Declaration of Independence was an explanation of this decision adopted two days later and served to morally and legally legitimize the secession from the British Crown and the War of Independence.	Legitimization
In Weston, Massachusetts, a tavern was vandalized by a mob of citizens dressed as Indians after a rumor spread that the owner was selling East Indian bohea tea.	handled
In addition, it was not possible to overcome the major reservations that had already existed in the 1930s against a joint SPD and KPD policy.	cleared out
Losing the "party document" membership card was considered a serious offense, as it could fall into the hands of the "class enemy", and was punished with at least a reprimand.	punished
In the cultural life of the GDR, which was strongly controlled by the SED, phases of openness alternated several times with phases of rigid paternalism during the four decades of its existence.	Paternalism
With the remark that "in our country, anyone can switch Western media on and off at will", Honecker ended the fight against the reception of West German radio and TV stations in the GDR in 1973, as well as the reservations about long hair, short skirts and blue jeans, the "rivet pants" that had previously been castigated as a symbol of Western decadence.	castigated
The striking changes that were made to the original constitution of the GDR reflect the development and the respective political guidelines of the SED leadership, which held the actual power in the state.	actual
At the beginning of the 1950s, for example, it was still quite possible to publicly discuss the inadequate supply of spare parts for motor vehicles and specifically name the government and its organs as the culprits.	Specifications
However, from the outset, the GDR was unable to keep up with the pace of the economic upswing in West Germany, much to the annoyance of its population.	Exasperation
There was also the application to leave the country, which, however, did not concern travel in the tourist sense, but emigration from the GDR and was also only partially approved and subject to harassment.	approved
You two, who have stood by me so often, In hardship and affliction, Tell me, what do you hope from our venture in German lands?	Enterprise
And quickly and incomprehensibly fast the earth's splendor revolves; Paradise's brightness alternates with deep, shuddering night.	more thrilling
O if you, full of moonlight, would look for the last time on my torment, which I woke up many a midnight at this desk: Then over books and paper, gloomy friend, you would appear to me!	Turbid
A barrel of garbage and a junk room And at the most a main and state action With excellent pragmatic maxims, As they suit the dolls' mouths!	maxims
The few who recognized any of it, Who foolishly enough did not keep their full heart, Revealed their feeling, their vision to the mob, Have been crucified and burned from time immemorial.	rabble
With zeal I have applied myself to my studies; I know much, but I would like to know everything.	diligent
The father shows you to his boy, Everyone asks and urges and hurries, The fiddle stops, the dancer lingers.	stays
Thus you oppose the eternally active, the salutary, creative force with the cold fist of the devil, which clenches treacherously in vain!	treacherous
If it pleases you, I am also prepared to stay here in your company; but on condition that I pass the time worthily for you with my arts.	worthy
Cursed be Mammon, if with treasures He stirs us to bold deeds, If he lays the cushions for us to idle gain!	idle
In contrast to a static definition that focuses primarily on normative aspects, the functional character of democracy can thus be grasped, above all through a negative definition in relation to organized rule.	grasp
In the 18th century, a republic was generally understood to be a community in which the laws ruled, a good regime as an antonym to the increasingly criticized despotism.	Antonym
Salzborn names the following values as inscribed in the modern conceptual genesis of democracy: individual freedom as a subject, the connection between state and popular sovereignty and the guarantee of elementary rights of the people against the state.	more elementary
His doctrine lacked "any protection against the potential despotism of the majority."	Despotism
Only in very small communities with as few generally detrimental luxuries as possible does he consider it possible to safeguard the rights of the people and citizens.	Preservation
Another innovation in democratic theory introduced by the authors of the Federalist Papers was the primacy of the Constitution.	Primacy
On the one hand, this can take place in the informal political process by including social groups in the opinion-forming process of parliament and government through hearings; on the other hand, this can also be formally guaranteed by means of fixed proportionality or parity rules that regulate political participation and the allocation of offices.	Participation
He argues and analyzes in a way that he would readily acknowledge as infantile within the sphere of his real interests.	infantile
Pinker himself calls the phenomenon "de-civilization in the 1960s" because the political and social upheavals in Western countries had considerable aggressive side effects that had not existed in the two decades before, such as a massive increase in murders and terrorism.	massive
On the day of his arrival, when the king, refreshed and calm from his bath, was about to take his robe from his wife's hand, the corrupt woman threw a wrinkled and artificially tangled fabric on his shoulders, around his noble head; and as he strove in vain to develop himself as if from a net, Aegisth, the traitor, struck him, and this great prince went to the dead in disguise.	Main
The assassination of the movement's spokesman Rudi Dutschke on April 11, 1968 marked the beginning of its disintegration, from which the various authoritarian-centralist K-groups and left-wing terrorist groups (June 2 Movement, Red Army Faction) emerged.	emerged
They stood in the tradition of anarchism and surrealism, wanted to promote the autonomy of the individual and undermine the appropriation strategies of modern capitalism through imaginative, satirical and effective provocations.	undermined
General Moczar launched an anti-Semitic campaign against "seditious Zionists" and enabled Gomułka to remove competitors and opponents from the state apparatus on the pretext that they were "Zionists".	Competitors
Mao spoke of the corruption of the local cadres by the rural bourgeoisie.	Bourgeoisie
The people declared class enemies by the Red Guards were fought, beaten, ridiculed and their property confiscated.	confiscated
The constantly repeated slogan "Love for mother and father is not like love for Mao Zedong" prompted countless Red Guards to denounce their parents as "counter-revolutionaries" - just as the Cultural Revolution was a heyday of denunciation in general.	denounce
The party's provincial committees were to be reinstalled and the great mass of disparaged cadres rehabilitated and reinstated.	rehabilitated
In China, however, Mao saw a solidification of the status quo with a bureaucratic class that cemented its position, detached from the masses.	cemented
With the ostensible aim of removing capitalist, bourgeois and traditionalist infiltrations of society by continuing the class struggle, the movement was accompanied by massive human rights violations and political assassinations up to the highest level; among others, Mao's disgraced designated successors Liu Shaoqi and Lin Biao died.	designated
After various plans had already been discussed during the war, but later rejected, as to what to do with the Germany responsible for the world war, the Western Allies finally decided in favor of reconstruction.	finally
