Before opening the grocery, Mister Delfin Del Pan inspects first.	inspecting
Because there were always storms and strong winds destroyed the crops, Angalo planted many trees on the mountain and around.	stormy
When this little Dilis Mutyang was the youngest of Silahis.	youngest
He picked a grain and took a bite.	grain
But, the bridge over the big river is broken and there are many crocodiles in the river.	bridge
They went down into knee-deep water and eagerly waited for the big waves to hit the beach.	bumping
The forest was very dark and there were many respectful ogres when the hero Batlog arrived.	ogre
He lay down on the grass and fell asleep.	grass
The white foreigners were on board and pointed to the town of Mactan.	of that
I don't know but it makes me beautiful so I'll just hang it as a decoration in my nest.	decoration
At night, many candles were lit so that the seedlings would not be afraid of the dark.	darkness
And Miyo caught the dog.	arrested
Or just wait here.	here
A new tooth will grow there after a few weeks.	there
The doctor encouraged them to be examples of good health for Philemon.	doctor
Before, he just hung out there.	there
Ivik rolled over and when he stopped rolling he opened his eyes.	blinked
When April comes, we have a grand vacation in mind.	grand
Your mom can even do a mountain of laundry.	hang out
Here we catch spiders and chase dragonflies.	spider
The ten moths burst into flames.	moth
I've had this haircut since I was a baby.	like this
Sinag started throwing water on Tala and Tala did the same to Sinag.	like that
Isn't that how it's spelled?	like that
We always celebrate United Nations Day in October in our class.	commemorating
Fabrics are just like paper, they can be drawn on and cut.	stripe
Martin rolled around in the palm of his hand.	wander
Buildings may collapse.	collapse
Soon the big waves started rolling towards the beach.	roll
The building is being launched now but will be used next year.	building
The man took a ladder.	stairs
The couple hid Maria in the garden so that she would not be harmed.	vegetable garden
Dad immediately returned to Bulacan to continue his work there.	occupation
Fly a kite all afternoon.	afternoon
The three haragans helped Emang Engkantada.	block
When it was midnight, father was still not there.	midnight
Friends, here is my egg. Eat it and be healthy!	there
So it was Raquel's hair that I turned to.	there
Matsing ignored Turtle's request.	request
Most air travel today consists of passenger jets.	air
Then, he took all the eggs he could find and hid them in the forested part of the island.	hauled
And I just let him go.	let
The snake curled up again in the bowl and sipped the milk.	sipped
Under the roots Talangka and hundreds of shrimps are crowded.	shrimp
Carl was very happy with what his mother announced.	announced
