It shows that prejudices about boys and girls begin at an early age...	see
Uncivil behavior reveals a problem of individual responsibility and collective sense.	incivism
Today, participatory journalism is normalized and well integrated.	integrated
I remember the wedding day well.	day
In fact, many teachers admit that conventional methods are sometimes no longer sufficient.	classics
He has a challenge to take up, if possible in unfamiliar lands.	countries
The time we spent together didn't leave much of an impression on you...	past
They're used to meeting up, going away together on weekends, and organizing trips and parties that give them a chance to get together.	return to
And suddenly... the parallel between junk food and infobesity becomes obvious: my newsfeed fills me up with absolutely useless news.	gave
Yes, memories evolve with age, with our imagination and with the stories we've been told.	evolve
And I love everything about music: composing lyrics, going on tour with your troupe...	troupe
Students dress as they like, with an accessory of their choice that reveals their greatest passion.	reveals
Tourists prone to seasickness need not worry: the cabins rotate on ball bearings so that the rooms always remain horizontal.	tourists
But he wouldn't take part in a citizens' initiative to defend the environment.	defend
In the end, even smokers are mostly satisfied, as the total ban on smoking in the workplace has enabled them to reduce their consumption.	reduce
Brain specialist Docteur Grise answers our readers' questions about memory and recall.	brain
With an open-ended contract, an employee can only be dismissed for serious misconduct or problems within the company.	serious
Participatory financing helps us to get through the season.	season
However, I've just received my bill for November and I see that you're charging me for a month of normal consumption.	count
The awards recognize the outstanding achievements of 35 young Francophones between the ages of 18 and 35.	exceptional
Being a tightrope walker isn't a job, it's a way of life.	at
I feel that these people bore me, misunderstand me and outrage me.	outrageous
They fall into two main categories: narcissists and procrastinators.	categories
It will cause many disasters, such as bad weather and hurricanes.	hurricanes
The latter expressed their anger at the rising prices of everyday products via social networks.	expressed
It exhilarates me, because over there, far, far away, in France, my brothers will never live it down, and the friends I left behind in high school, the day after my baccalaureate in philosophy, they too missed out on this wonderful adventure.	friends
Stromae says he doesn't judge such behavior, but denounces it.	report
What is food here is not food elsewhere, what is consumable for some is not for others...	consumables
The situation we're experiencing here should be of concern to you, however, as all territories will be affected sooner or later.	territories
The minimum number of varieties listed worldwide, not including related species (producing tubers).	related
The articles are written by amateurs.	amateurs
I'm a culture vulture.	eager
I'm avid for culture.	culture
Today, we publish and sell.	sells
In France, the following elections are held to elect whom?	organized
Scientists have studied the evolution of fish.	fish
Heavy boats propelled by eight to ten rowers move towards each other.	rowers
They cost no more than a few tens of thousands of euros to create.	creation
People often find me proud and pompous on the outside, whereas I'm totally humble in my relationship with humanity.	proud
And that's what they did, with courage and determination, thanks to a protest flashmob that I'll let you discover.	determination
If the letters were of better quality, the reading rate would be higher.	important
In one of his speeches, he referred to a terrorist attack in Sweden that had never taken place.	attack
Good omens: Haitians believe that an itchy left hand is a sign that money will soon be coming in.	back to school
We have a few compositions of our own, but we mostly cover French songs and arrange them in our own way.	songs
The subject: In June 2013, Snowden, a former agent of the NSA (the US intelligence agency), revealed that it was collecting data on every citizen in the world.	collected
As in the early days of science fiction, there's a wonderful sense of childhood.	spirit
Also beware of usurped e-commerce addresses.	addresses
But we aspire to be able to leave the stick in the checkroom and rely on every resident to ensure that respect prevails over individualism.	individualism
In Naskapi, some words are impossible to translate, and a single word can have several meanings.	meanings
