A group of people set fire to this rotted Benaya tree near the road yesterday evening (06) and as soon as there was a danger of the tree falling across the road, a group of officers including Kandaketiya Police Station Commander Police Inspector WM Siriwardena searched the area until dawn yesterday (06). Pedestrians have been protected by the tree as they struggle to put out the fire.	Russia
After becoming the only hope of the common people by protecting the farmer, worker and fisherman who represent the little man of the whole island of Sri Lanka, I will make the lives of the people happy.	the island
A large number of monkeys, who have filled their bellies with the food provided by the devotees including flowers, are now seen starving due to the lack of any food.	hunger
Due to this situation, the local residents have informed the relevant authorities that the villages beyond the reservoir such as Opalgalala, Galbodala Ambana and Naula will also face many difficulties in the future.	outside
In this season, 80342 hectares of paddy fields have been cultivated in Kurunegala district, 16989 hectares of paddy under major irrigation, 36809 hectares of paddy under minor irrigation, and 26544 hectares of paddy under sky water.	the sky
On the one hand, people's lives are in danger due to coconut oil fraud.	the trick
Bodu visual art objects are the characteristics that make the cultural environment of Heladiva colorful.	Heladiva
The island of Hawaii is a magical island perfected by a set of unique socio-cultural religious environment and geographic complexities that have captivated the hearts of most tourists from America.	Spectacular
Several agreements will also be signed between the two countries this evening.	In the evening
(Mudita Dayananda) Secretary General of the United People's Freedom Alliance, Minister of Power and Energy Mr. Mahinda Amaraweera said today (13) that no matter how severe Idora is, electricity will not be cut and people's lives will be disrupted.	the room
Nishan Pradeep Karunathilaka, who works in the Police Special Task Force and has conquered the trinity of Air, Water and Earth, proving that the saying that one of the world is one thing is wrong, is a perfect sportsman with real talents.	Dikvijaya
History shows that the champions of great wars who won the world, the great Narapati who ruled the Sam kingdom, and the fierce veterans who sacrificed their lives to get liberation, are crying in love.	Narapati
In particular, knowledge about the biography of Sri Vajiranana Na Thero, historical information of the country, foreign invasions and the challenges that arose in them, national destructions etc. can be seen and learned through this exhibition.	Historical
After about two weeks of residential treatment, Kalana Hastia will have the opportunity to walk freely in the area like other elephants.	the elephant
(Kushan Jayawardena) A wild elephant calf which was unable to take food and water for several days due to severe mouth injuries caused by eating Hakkapatas died today (28) at Balaluwewa Ismatta due to severe hunger and dehydration.	hunger
Why did Prince Dutugemunu separate his couch for Suranimala like that?	the couch
