upset	5	devastated	4.5	heartbroken	4	overwhelmed	3.5	distressed	3	agonized	2.5	tormented	2	troubled	1.5	anguished	1	wrecked	0.5
consuming	5	ingesting	4.5	imbibing	4	sipping	3.5	quaffing	3	swallowing	2.5	downing	2	gulping	1.5	chugging	1	partaking	0.5
public speaking	5	speechmaking	4.5	rhetoric	4	eloquence	3.5	persuasive speaking	3	verbal communication	2.5	oratorical skills	2	speaking ability	1.5	communication prowess	1		
informing	5	communicating	4.5	documenting	4	relaying	3.5	notifying	3	conveying	2.5	updating	2	transmitting	1.5	disclosing	1	presenting	0.5
penetrating	5	embedding	4.5	spying on	4	covertly joining	3.5	observing covertly	3	secretly joining	2.5	covertly monitoring	2						
comparative	5	proportional	4.5	corresponding	4	comparable	3.5	equivalent	3	parallel	2.5	similar	2	commensurate	1.5	analogous	1	proximate	0.5
electron donors	5	reactivity agents	4.5	nucleus-seeking molecules	4	electron-rich compounds	3.5	nucleophilic species	3	electron-loving substances	2.5	nucleus-attacking reagents	2	electron-donating compounds	1.5	nucleus-seeking reagents	1	electron-rich molecules	0.5
evaluated	5	assessed	4.5	measured	4	ranked	3.5	analyzed	3	judged	2.5	examined	2						
sliding	5	rubbing	4.5	resistance	4	dragging	3.5	traction	3	abrasive	2.5	interacting	2	contacting	1.5	clashing	1	grating	0.5
texture	5	roughness	4.5	coarseness	4	evenness	3.5	flatness	3	polished	2.5	slickness	2	slipperiness	1.5	abrasiveness	1	unevenness	0.5
changes	5	fluctuates	4.5	varies greatly	4	differs	3.5	shifts	3	alters	2.5	diverges	2	modifies	1.5	evolves	1	adapts	0.5
retroactively	5																		
investigating	5	exploring	4.5	pursuing	4	delving into	3.5	scouring	3	tracing	2.5	researching	2	scrutinizing	1.5	probing	1	examining	0.5
methodically	5	thoroughly	4.5	carefully	4	step-by-step	3.5	orderly	3	rigorously	2.5	deliberately	2						
openings	5	slots	4.5	indentations	4	cavities	3.5	receptacles	3	apertures	2.5	notches	2	cutouts	1.5	spaces	1	depressions	0.5
structures	5	chassis	4.5	casings	4	bodies	3.5	frameworks	3	supports	2.5	skeletons	2	outlines	1.5	shells	1	skeletons	0.5
stopping mechanism	5	brake system	4.5	braking device	4	deceleration system	3.5	friction brakes	3	halting mechanism	2.5	slowdown system	2	stopping apparatus	1.5	retarding device	1	anti-lock brakes	0.5
primary	5	main	4.5	preferred	4	targeted	3.5	chosen	3	selected	2.5	special	2	prominent	1.5	predominant	1	promoted	0.5
learn	5	know	4.5	understand	4	recognize	3.5	acknowledge	3	realize	2.5	comprehend	2	grasp	1.5	perceive	1	absorb	0.5
discussing	5	mentioning	4.5	conversing	4	addressing	3.5	communicating	3	sharing	2.5	exploring	2	debating	1.5	deliberating	1	exchanging	0.5
highly charged	5	reactive	4.5	volatile	4	unstable	3.5	radioactive	3	energetic	2.5	electromagnetic	2	ionized	1.5	highly reactive	1	strongly attracting	0.5
inventions	5	innovations	4.5	advancements	4	breakthroughs	3.5	developments	3	discoveries	2.5	creations	2	improvements	1.5	progressions	1	achievements	0.5
atomic	5	nuclear-powered	4.5	atomic-powered	4	atomic energy	3.5	nuclear energy	3	atomic splitting	2.5	nuclear splitting	2	atom-splitting	1.5	nuclear reaction	1		
researchers	5	scholars	4.5	experts	4	historians	3.5	academics	3	scientists	2.5	archaeologists	2	ethnographers	1.5	sociologists	1	cultural analysts	0.5
great	5	superb	4.5	outstanding	4	remarkable	3.5	exceptional	3	superior	2.5	impressive	2	noteworthy	1.5	valuable	1	beneficial	0.5
clever	5	resourceful	4.5	inventive	4	creative	3.5	innovative	3	smart	2.5	shrewd	2	astute	1.5	cunning	1		
general	5	comprehensive	4.5	complete	4	total	3.5	entire	3	global	2.5	broad	2	universal	1.5	inclusive	1		
discusses	5	covers	4.5	touches on	4	mentions	3.5	deals with	3	explores	2.5	tackles	2	examines	1.5	describes	1	elaborates on	0.5
manage	5	control	4.5	manipulate	4	govern	3.5	oversee	3	direct	2.5	regulate	2	administer	1.5	operate	1	influence	0.5
creator	5	originator	4.5	pioneer	4	founder	3.5	architect	3	instigator	2.5	progenitor	2	initiator	1.5	forefather	1	patriarch	0.5
hiring	5	selecting	4.5	nominating	4	choosing	3.5	designating	3	assigning	2.5	commissioning	2	recruiting	1.5	placing	1	installing	0.5
rewards	5	benefits	4.5	perks	4	favors	3.5	privileges	3	advantages	2.5	bonuses	2	bounties	1.5	plunder	1	booty	0.5
based on	5	consistent with	4.5	following	4	conforming to	3.5	as per	3	corresponding to	2.5								
change	5	differ	4.5	fluctuate	4	alter	3.5	shift	3	varying degrees	2.5	deviate	2	modify	1.5	evolve	1	transform	0.5
objects	5	things	4.5	entities	4	items	3.5	subjects	3	concepts	2.5	terms	2	elements	1.5	units	1	components	0.5
curved	5	bowl-shaped	4.5	concave	4	arched	3.5	rounded	3	curved inward	2.5	dome-shaped	2	convex	1.5	curving inward	1	bell-shaped	0.5
precision	5	exactness	4.5	consistency	4	reliability	3.5	sharpness	3	clarity	2.5	perfection	2	correctness	1.5	fidelity	1	faithfulness	0.5
concentrating	5	directing	4.5	channeling	4	narrowing	3.5	pinpointing	3	centering	2.5	sharpening	2	refining	1.5	targeting	1	homing in	0.5
